32.289, -4066, -17.88
32.315, -3629, -17.92
32.341, -3760, -17.95
32.367, -3849, -17.96
32.393, -3938, -18.00
32.419, -3909, -18.05
32.445, -3990, -18.08
32.471, -3829, -18.11
32.497, -3956, -18.17
32.522, -3773, -18.23
32.548, -3730, -18.29
32.574, -4055, -18.35
32.600, -3938, -18.37
32.626, -3903, -18.39
32.652, -3678, -18.41
32.678, -4041, -18.48
32.704, -4164, -18.52
32.730, -3537, -18.52
32.756, -3916, -18.56
32.782, -4131, -18.60
32.808, -3866, -18.62
32.834, -3901, -18.64
32.860, -4032, -18.66
32.886, -3851, -18.71
32.912, -3862, -18.71
32.938, -3751, -18.71
32.964, -3820, -18.72
32.990, -4337, -18.79
33.016, -3914, -18.80
33.042, -3681, -18.79
33.068, -4288, -18.84
33.094, -4159, -18.88
33.120, -4084, -18.91
33.146, -3817, -18.92
33.172, -4034, -18.92
33.198, -4053, -18.96
33.224, -4196, -19.04
33.249, -4059, -19.05
33.275, -4174, -19.11
33.301, -4205, -19.14
33.327, -4624, -19.22
33.353, -4217, -19.26
33.379, -4262, -19.35
33.405, -4131, -19.37
33.431, -3898, -19.36
33.457, -3893, -19.40
33.483, -4378, -19.43
33.509, -4301, -19.49
33.535, -4086, -19.49
33.561, -4595, -19.54
33.587, -4148, -19.55
33.613, -4335, -19.62
33.639, -4210, -19.66
33.665, -4253, -19.71
33.691, -4594, -19.77
33.717, -4297, -19.80
33.743, -4274, -19.83
33.769, -4341, -19.88
33.795, -4470, -19.93
33.821, -4419, -20.00
33.847, -4422, -20.06
33.873, -4437, -20.10
33.899, -4276, -20.13
33.925, -4477, -20.19
33.951, -4446, -20.27
33.976, -4127, -20.27
34.002, -4104, -20.27
34.028, -4499, -20.36
34.054, -4288, -20.40
34.080, -4463, -20.43
34.106, -4252, -20.47
34.132, -4651, -20.54
34.158, -4260, -20.56
34.184, -4485, -20.62
34.210, -4240, -20.66
34.236, -4599, -20.74
34.262, -4398, -20.80
34.288, -4383, -20.80
34.314, -4302, -20.84
34.340, -4483, -20.92
34.366, -4368, -20.93
34.392, -4959, -21.01
34.418, -4300, -21.03
34.444, -4553, -21.10
34.470, -4748, -21.17
34.496, -4577, -21.22
34.522, -4460, -21.25
34.548, -4569, -21.30
34.574, -4588, -21.34
34.600, -4637, -21.38
34.626, -4934, -21.41
34.652, -4529, -21.44
34.678, -4898, -21.50
34.703, -4829, -21.57
34.729, -4630, -21.64
34.755, -4723, -21.72
34.781, -4606, -21.75
34.807, -5069, -21.82
34.833, -4662, -21.88
34.859, -4881, -21.91
