55.283, -1149, -1.95
55.309, -512, -2.01
55.335, -1093, -2.12
55.361, -1260, -2.25
55.387, -925, -2.34
55.413, -1124, -2.48
55.439, -851, -2.56
55.465, -1590, -2.70
55.491, -879, -2.79
55.517, -1546, -2.94
55.543, -1175, -3.02
55.568, -1396, -3.12
55.594, -1109, -3.23
55.620, -1620, -3.39
55.646, -807, -3.44
55.672, -1024, -3.50
55.698, -841, -3.54
55.724, -1334, -3.59
55.750, -1427, -3.74
55.776, -1458, -3.85
55.802, -1351, -3.96
55.828, -1242, -4.08
55.854, -1075, -4.19
55.880, -1642, -4.34
55.906, -1409, -4.46
55.932, -1294, -4.54
55.958, -1199, -4.60
55.984, -1674, -4.74
56.010, -1545, -4.85
56.036, -1590, -4.91
56.062, -1559, -5.04
56.088, -1766, -5.13
56.114, -1427, -5.22
56.140, -1358, -5.31
56.166, -1633, -5.42
56.192, -1902, -5.51
56.218, -1429, -5.60
56.244, -1652, -5.71
56.270, -1321, -5.78
56.295, -1578, -5.90
56.321, -1453, -5.94
56.347, -1264, -6.00
56.373, -1549, -6.09
56.399, -2020, -6.19
56.425, -1651, -6.30
56.451, -1982, -6.42
56.477, -1291, -6.48
56.503, -1948, -6.59
56.529, -1683, -6.68
56.555, -1772, -6.77
56.581, -1901, -6.84
56.607, -2324, -7.02
56.633, -1871, -7.10
56.659, -1806, -7.15
56.685, -1651, -7.22
56.711, -1972, -7.30
56.737, -1805, -7.39
56.763, -2010, -7.44
56.789, -2237, -7.57
56.815, -1884, -7.60
56.841, -2319, -7.72
56.867, -2020, -7.77
56.893, -2115, -7.87
56.919, -1994, -7.91
56.945, -2037, -8.03
56.971, -1918, -8.12
56.996, -1763, -8.21
57.022, -2328, -8.30
57.048, -2149, -8.37
57.074, -2088, -8.44
57.100, -2359, -8.54
57.126, -2468, -8.65
57.152, -2083, -8.75
57.178, -2676, -8.85
57.204, -2087, -8.92
57.230, -2440, -9.03
57.256, -2751, -9.18
57.282, -2278, -9.24
57.308, -2675, -9.35
57.334, -2086, -9.40
57.360, -2279, -9.47
57.386, -2478, -9.54
57.412, -2321, -9.63
57.438, -2748, -9.76
57.464, -2591, -9.86
57.490, -2816, -9.95
57.516, -2361, -10.04
57.542, -2372, -10.11
57.568, -2455, -10.22
57.594, -2342, -10.29
57.620, -2893, -10.43
57.646, -2362, -10.54
57.672, -2771, -10.66
57.698, -2302, -10.69
57.723, -2613, -10.78
57.749, -2496, -10.83
57.775, -2487, -10.95
57.801, -2348, -10.98
57.827, -2623, -11.08
57.853, -2888, -11.18
57.879, -2481, -11.24
57.905, -2812, -11.29
57.931, -2523, -11.36
57.957, -3324, -11.50
57.983, -2769, -11.61
58.009, -2874, -11.70
